address;rssi
f7:9c:08:9a:42:ed;-77
fc:02:a0:fa:33:19;-75
ef:86:35:dd:c3:f7;-68
d1:0b:14:b3:18:6a;-75
e3:6f:28:36:5a:db;-61
f9:b3:b2:3d:53:a5;-71
d5:b1:89:8b:b8:c5;-69
f1:96:cd:ee:25:bd;-62
fc:02:a0:fa:33:19;-76
d5:b1:89:8b:b8:c5;-70
e3:6f:28:36:5a:db;-55
f1:96:cd:ee:25:bd;-64
f7:9c:08:9a:42:ed;-81
ef:86:35:dd:c3:f7;-76
d1:0b:14:b3:18:6a;-67
f9:b3:b2:3d:53:a5;-61
fc:02:a0:fa:33:19;-66
e3:6f:28:36:5a:db;-76
d1:0b:14:b3:18:6a;-65
f1:96:cd:ee:25:bd;-62
f9:b3:b2:3d:53:a5;-71
f7:9c:08:9a:42:ed;-84
d1:0b:14:b3:18:6a;-66
d5:b1:89:8b:b8:c5;-70
e3:6f:28:36:5a:db;-71
f7:9c:08:9a:42:ed;-82
ef:86:35:dd:c3:f7;-67
fc:02:a0:fa:33:19;-58
f1:96:cd:ee:25:bd;-64
e3:6f:28:36:5a:db;-70
f7:9c:08:9a:42:ed;-81
f1:96:cd:ee:25:bd;-64
f9:b3:b2:3d:53:a5;-64
fc:02:a0:fa:33:19;-71
d5:b1:89:8b:b8:c5;-69
ef:86:35:dd:c3:f7;-77
d1:0b:14:b3:18:6a;-77
e3:6f:28:36:5a:db;-68
f7:9c:08:9a:42:ed;-82
ef:86:35:dd:c3:f7;-68
fc:02:a0:fa:33:19;-70
d1:0b:14:b3:18:6a;-82
f1:96:cd:ee:25:bd;-64
f9:b3:b2:3d:53:a5;-71
d5:b1:89:8b:b8:c5;-75
d1:0b:14:b3:18:6a;-66
f1:96:cd:ee:25:bd;-48
fc:02:a0:fa:33:19;-66
d5:b1:89:8b:b8:c5;-68
e3:6f:28:36:5a:db;-59
f7:9c:08:9a:42:ed;-84
ef:86:35:dd:c3:f7;-68
fc:02:a0:fa:33:19;-51
d1:0b:14:b3:18:6a;-77
e3:6f:28:36:5a:db;-69
f1:96:cd:ee:25:bd;-62
f7:9c:08:9a:42:ed;-84
d5:b1:89:8b:b8:c5;-54
ef:86:35:dd:c3:f7;-67
f7:9c:08:9a:42:ed;-81
fc:02:a0:fa:33:19;-76
d5:b1:89:8b:b8:c5;-76
e3:6f:28:36:5a:db;-62
f1:96:cd:ee:25:bd;-64
ef:86:35:dd:c3:f7;-72
d1:0b:14:b3:18:6a;-65
f9:b3:b2:3d:53:a5;-63
f7:9c:08:9a:42:ed;-83
fc:02:a0:fa:33:19;-77
d1:0b:14:b3:18:6a;-78
e3:6f:28:36:5a:db;-70
f1:96:cd:ee:25:bd;-66
d5:b1:89:8b:b8:c5;-68
ef:86:35:dd:c3:f7;-68
f9:b3:b2:3d:53:a5;-63
fc:02:a0:fa:33:19;-72
d5:b1:89:8b:b8:c5;-77
e3:6f:28:36:5a:db;-75
f1:96:cd:ee:25:bd;-62
d1:0b:14:b3:18:6a;-64
f7:9c:08:9a:42:ed;-83
f7:9c:08:9a:42:ed;-84
d1:0b:14:b3:18:6a;-63
e3:6f:28:36:5a:db;-64
f1:96:cd:ee:25:bd;-62
f9:b3:b2:3d:53:a5;-63
d5:b1:89:8b:b8:c5;-69
ef:86:35:dd:c3:f7;-66
fc:02:a0:fa:33:19;-72
fc:02:a0:fa:33:19;-66
d5:b1:89:8b:b8:c5;-69
e3:6f:28:36:5a:db;-69
f1:96:cd:ee:25:bd;-64
ef:86:35:dd:c3:f7;-76
f7:9c:08:9a:42:ed;-83
f9:b3:b2:3d:53:a5;-64
d1:0b:14:b3:18:6a;-64
fc:02:a0:fa:33:19;-71
d1:0b:14:b3:18:6a;-75
e3:6f:28:36:5a:db;-62
f1:96:cd:ee:25:bd;-65
f9:b3:b2:3d:53:a5;-73
d5:b1:89:8b:b8:c5;-74
f7:9c:08:9a:42:ed;-77
ef:86:35:dd:c3:f7;-50
d1:0b:14:b3:18:6a;-51
f1:96:cd:ee:25:bd;-68
f7:9c:08:9a:42:ed;-83
fc:02:a0:fa:33:19;-67
e3:6f:28:36:5a:db;-71
f9:b3:b2:3d:53:a5;-48
d5:b1:89:8b:b8:c5;-68
d1:0b:14:b3:18:6a;-50
e3:6f:28:36:5a:db;-58
f1:96:cd:ee:25:bd;-48
f9:b3:b2:3d:53:a5;-72
fc:02:a0:fa:33:19;-64
d5:b1:89:8b:b8:c5;-68
f7:9c:08:9a:42:ed;-84
ef:86:35:dd:c3:f7;-54
f7:9c:08:9a:42:ed;-81
fc:02:a0:fa:33:19;-65
d1:0b:14:b3:18:6a;-67
e3:6f:28:36:5a:db;-74
d1:0b:14:b3:18:6a;-78
f1:96:cd:ee:25:bd;-68
f7:9c:08:9a:42:ed;-85
f9:b3:b2:3d:53:a5;-63
fc:02:a0:fa:33:19;-67
ef:86:35:dd:c3:f7;-73
f1:96:cd:ee:25:bd;-64
f7:9c:08:9a:42:ed;-82
ef:86:35:dd:c3:f7;-74
fc:02:a0:fa:33:19;-75
d1:0b:14:b3:18:6a;-83
e3:6f:28:36:5a:db;-62
f9:b3:b2:3d:53:a5;-62
f1:96:cd:ee:25:bd;-61
f7:9c:08:9a:42:ed;-84
f9:b3:b2:3d:53:a5;-64
fc:02:a0:fa:33:19;-65
d1:0b:14:b3:18:6a;-66
e3:6f:28:36:5a:db;-73
ef:86:35:dd:c3:f7;-65
d5:b1:89:8b:b8:c5;-67
ef:86:35:dd:c3:f7;-68
f7:9c:08:9a:42:ed;-80
fc:02:a0:fa:33:19;-71
d1:0b:14:b3:18:6a;-65
e3:6f:28:36:5a:db;-61
f1:96:cd:ee:25:bd;-65
f9:b3:b2:3d:53:a5;-62
d5:b1:89:8b:b8:c5;-77
f7:9c:08:9a:42:ed;-84
f1:96:cd:ee:25:bd;-62
f9:b3:b2:3d:53:a5;-62
d5:b1:89:8b:b8:c5;-78
e3:6f:28:36:5a:db;-71
ef:86:35:dd:c3:f7;-73
d1:0b:14:b3:18:6a;-80
fc:02:a0:fa:33:19;-78
f7:9c:08:9a:42:ed;-66
fc:02:a0:fa:33:19;-67
d1:0b:14:b3:18:6a;-66
e3:6f:28:36:5a:db;-63
f1:96:cd:ee:25:bd;-68
d5:b1:89:8b:b8:c5;-68
ef:86:35:dd:c3:f7;-50
f9:b3:b2:3d:53:a5;-64
d5:b1:89:8b:b8:c5;-81
d1:0b:14:b3:18:6a;-66
e3:6f:28:36:5a:db;-62
f1:96:cd:ee:25:bd;-64
ef:86:35:dd:c3:f7;-65
f7:9c:08:9a:42:ed;-84
fc:02:a0:fa:33:19;-71
d1:0b:14:b3:18:6a;-66
f1:96:cd:ee:25:bd;-64
f9:b3:b2:3d:53:a5;-64
d5:b1:89:8b:b8:c5;-68
fc:02:a0:fa:33:19;-71
ef:86:35:dd:c3:f7;-67
f7:9c:08:9a:42:ed;-81
fc:02:a0:fa:33:19;-76
d1:0b:14:b3:18:6a;-82
e3:6f:28:36:5a:db;-73
f1:96:cd:ee:25:bd;-68
ef:86:35:dd:c3:f7;-73
f7:9c:08:9a:42:ed;-82
d1:0b:14:b3:18:6a;-67
fc:02:a0:fa:33:19;-67
e3:6f:28:36:5a:db;-71
f1:96:cd:ee:25:bd;-64
e2:51:e0:31:ee:0e;-80
f7:9c:08:9a:42:ed;-69
d5:b1:89:8b:b8:c5;-75
d1:0b:14:b3:18:6a;-49
e3:6f:28:36:5a:db;-62
ef:86:35:dd:c3:f7;-66
f1:96:cd:ee:25:bd;-45
f7:9c:08:9a:42:ed;-70
e2:51:e0:31:ee:0e;-63
fc:02:a0:fa:33:19;-56
f9:b3:b2:3d:53:a5;-63
d5:b1:89:8b:b8:c5;-54
e3:6f:28:36:5a:db;-73
e2:51:e0:31:ee:0e;-71
f1:96:cd:ee:25:bd;-52
f9:b3:b2:3d:53:a5;-71
fc:02:a0:fa:33:19;-51
d1:0b:14:b3:18:6a;-65
f7:9c:08:9a:42:ed;-81
ef:86:35:dd:c3:f7;-65
f7:9c:08:9a:42:ed;-83
e2:51:e0:31:ee:0e;-77
fc:02:a0:fa:33:19;-71
d1:0b:14:b3:18:6a;-65
e3:6f:28:36:5a:db;-71
f9:b3:b2:3d:53:a5;-48
d5:b1:89:8b:b8:c5;-75
f1:96:cd:ee:25:bd;-67
e3:6f:28:36:5a:db;-60
e2:51:e0:31:ee:0e;-72
f7:9c:08:9a:42:ed;-81
f9:b3:b2:3d:53:a5;-71
fc:02:a0:fa:33:19;-78
ef:86:35:dd:c3:f7;-67
f1:96:cd:ee:25:bd;-64
d1:0b:14:b3:18:6a;-65
d5:b1:89:8b:b8:c5;-67
f7:9c:08:9a:42:ed;-82
fc:02:a0:fa:33:19;-77
d1:0b:14:b3:18:6a;-65
e3:6f:28:36:5a:db;-73
f1:96:cd:ee:25:bd;-64
f9:b3:b2:3d:53:a5;-72
ef:86:35:dd:c3:f7;-76
e2:51:e0:31:ee:0e;-70
fc:02:a0:fa:33:19;-67
e3:6f:28:36:5a:db;-74
ef:86:35:dd:c3:f7;-75
f1:96:cd:ee:25:bd;-62
e2:51:e0:31:ee:0e;-62
f7:9c:08:9a:42:ed;-83
d1:0b:14:b3:18:6a;-64
f9:b3:b2:3d:53:a5;-64
d5:b1:89:8b:b8:c5;-69
d1:0b:14:b3:18:6a;-65
fc:02:a0:fa:33:19;-72
e3:6f:28:36:5a:db;-62
e2:51:e0:31:ee:0e;-76
f1:96:cd:ee:25:bd;-68
f7:9c:08:9a:42:ed;-82
d5:b1:89:8b:b8:c5;-76
f9:b3:b2:3d:53:a5;-64
d1:0b:14:b3:18:6a;-65
e3:6f:28:36:5a:db;-62
ef:86:35:dd:c3:f7;-68
f1:96:cd:ee:25:bd;-67
f7:9c:08:9a:42:ed;-84
fc:02:a0:fa:33:19;-72
f9:b3:b2:3d:53:a5;-48
e2:51:e0:31:ee:0e;-59
e3:6f:28:36:5a:db;-74
d1:0b:14:b3:18:6a;-64
e2:51:e0:31:ee:0e;-77
f1:96:cd:ee:25:bd;-51
ef:86:35:dd:c3:f7;-49
f7:9c:08:9a:42:ed;-82
fc:02:a0:fa:33:19;-77
d5:b1:89:8b:b8:c5;-77
ef:86:35:dd:c3:f7;-76
f1:96:cd:ee:25:bd;-45
fc:02:a0:fa:33:19;-72
d1:0b:14:b3:18:6a;-67
e3:6f:28:36:5a:db;-70
f7:9c:08:9a:42:ed;-69
d5:b1:89:8b:b8:c5;-68
f9:b3:b2:3d:53:a5;-64
f1:96:cd:ee:25:bd;-64
f7:9c:08:9a:42:ed;-82
d5:b1:89:8b:b8:c5;-54
f9:b3:b2:3d:53:a5;-64
fc:02:a0:fa:33:19;-78
e3:6f:28:36:5a:db;-75
ef:86:35:dd:c3:f7;-77
d1:0b:14:b3:18:6a;-65
f7:9c:08:9a:42:ed;-84
fc:02:a0:fa:33:19;-67
d1:0b:14:b3:18:6a;-82
f1:96:cd:ee:25:bd;-62
e3:6f:28:36:5a:db;-71
f9:b3:b2:3d:53:a5;-63
ef:86:35:dd:c3:f7;-65
f7:9c:08:9a:42:ed;-82
fc:02:a0:fa:33:19;-71
d1:0b:14:b3:18:6a;-67
e3:6f:28:36:5a:db;-76
ef:86:35:dd:c3:f7;-74
f1:96:cd:ee:25:bd;-66
d5:b1:89:8b:b8:c5;-77
fc:02:a0:fa:33:19;-66
d1:0b:14:b3:18:6a;-77
f1:96:cd:ee:25:bd;-67
e3:6f:28:36:5a:db;-62
d5:b1:89:8b:b8:c5;-69
f9:b3:b2:3d:53:a5;-63
ef:86:35:dd:c3:f7;-75
f7:9c:08:9a:42:ed;-84
d1:0b:14:b3:18:6a;-66
e3:6f:28:36:5a:db;-61
ef:86:35:dd:c3:f7;-68
f7:9c:08:9a:42:ed;-83
f1:96:cd:ee:25:bd;-45
d5:b1:89:8b:b8:c5;-68
f9:b3:b2:3d:53:a5;-48
fc:02:a0:fa:33:19;-71
e3:6f:28:36:5a:db;-75
f1:96:cd:ee:25:bd;-64
d1:0b:14:b3:18:6a;-66
d5:b1:89:8b:b8:c5;-70
f9:b3:b2:3d:53:a5;-64
fc:02:a0:fa:33:19;-65
ef:86:35:dd:c3:f7;-66
f7:9c:08:9a:42:ed;-83
f7:9c:08:9a:42:ed;-82
fc:02:a0:fa:33:19;-79
d1:0b:14:b3:18:6a;-78
e3:6f:28:36:5a:db;-73
f1:96:cd:ee:25:bd;-63
f9:b3:b2:3d:53:a5;-64
ef:86:35:dd:c3:f7;-75
d1:0b:14:b3:18:6a;-68
e3:6f:28:36:5a:db;-72
d5:b1:89:8b:b8:c5;-69
f7:9c:08:9a:42:ed;-83
fc:02:a0:fa:33:19;-71
ef:86:35:dd:c3:f7;-65
f1:96:cd:ee:25:bd;-51
f7:9c:08:9a:42:ed;-82
fc:02:a0:fa:33:19;-75
d1:0b:14:b3:18:6a;-67
e3:6f:28:36:5a:db;-63
