address,rssi,dist,battery,txPower,interval,roll
d1:0b:14:b3:18:6a,-60,50,43,6,500,-50.37758224866025
d1:0b:14:b3:18:6a,-56,50,43,6,500,-50.29516545700797
fc:02:a0:fa:33:19,-49,50,44,6,500,-50.22956283169196
f7:9c:08:9a:42:ed,-66,50,50,6,500,-50.310631262388476
f1:96:cd:ee:25:bd,-56,50,47,6,500,-50.34317042278838
d5:b1:89:8b:b8:c5,-45,50,67,6,500,-50.2449178895275
f9:b3:b2:3d:53:a5,-45,50,72,6,500,-50.27817674438134
e3:6f:28:36:5a:db,-36,50,43,6,500,-50.08171815940178
f7:9c:08:9a:42:ed,-61,50,50,6,500,-50.196118760631336
f1:96:cd:ee:25:bd,-50,50,47,6,500,-50.14689509666433
d1:0b:14:b3:18:6a,-60,50,43,6,500,-50.31067027534269
fc:02:a0:fa:33:19,-46,50,44,6,500,-50.29449601507079
e3:6f:28:36:5a:db,-58,50,43,6,500,-50.39269047027513
ef:86:35:dd:c3:f7,-58,50,69,6,500,-50.605893271378285
d5:b1:89:8b:b8:c5,-46,50,67,6,500,-50.606156043697204
fc:02:a0:fa:33:19,-47,50,44,6,500,-50.62280576437901
d1:0b:14:b3:18:6a,-58,50,43,6,500,-50.524000510614144
f7:9c:08:9a:42:ed,-58,50,50,6,500,-50.57292464729472
f1:96:cd:ee:25:bd,-53,50,47,6,500,-50.67140868689484
ef:86:35:dd:c3:f7,-50,50,69,6,500,-50.52364275676332
d5:b1:89:8b:b8:c5,-43,50,67,6,500,-50.17907187558232
f9:b3:b2:3d:53:a5,-44,50,72,6,500,-50.09728078317206
e3:6f:28:36:5a:db,-52,50,43,6,500,-50.261548600889
f7:9c:08:9a:42:ed,-61,50,50,6,500,-50.5567338399454
f1:96:cd:ee:25:bd,-38,50,47,6,500,-50.343773963510934
e3:6f:28:36:5a:db,-57,50,43,6,500,-50.57348727302885
d1:0b:14:b3:18:6a,-43,50,43,6,500,-50.59038965396331
fc:02:a0:fa:33:19,-57,50,44,6,500,-50.47520958817743
ef:86:35:dd:c3:f7,-58,50,69,6,500,-50.55696266573442
d5:b1:89:8b:b8:c5,-30,50,67,6,500,-50.3277580158306
f9:b3:b2:3d:53:a5,-44,50,72,6,500,-50.048931740770605
fc:02:a0:fa:33:19,-45,50,44,6,500,-49.99992002940792
ef:86:35:dd:c3:f7,-58,50,69,6,500,-50.01603576072137
d5:b1:89:8b:b8:c5,-41,50,67,6,500,-49.688040746985486
f9:b3:b2:3d:53:a5,-84,50,72,6,500,-50.24472605864446
e3:6f:28:36:5a:db,-52,50,43,6,500,-50.408833193119335
f7:9c:08:9a:42:ed,-67,50,50,6,500,-50.80224322803715
f1:96:cd:ee:25:bd,-36,50,47,6,500,-50.44158596439502
d1:0b:14:b3:18:6a,-57,50,43,6,500,-50.53989293485812
f1:96:cd:ee:25:bd,-55,50,47,6,500,-50.58903577595883
e3:6f:28:36:5a:db,-56,50,43,6,500,-50.40845206814417
d1:0b:14:b3:18:6a,-58,50,43,6,500,-50.55596314176447
fc:02:a0:fa:33:19,-48,50,44,6,500,-50.4739889218817
