address;e3:6f:28:36:5a:db
rssi;-59
address;f7:9c:08:9a:42:ed
rssi;-76
address;fc:02:a0:fa:33:19
rssi;-62
address;d1:0b:14:b3:18:6a
rssi;-68
address;ef:86:35:dd:c3:f7
rssi;-62
address;f1:96:cd:ee:25:bd
rssi;-57
address;f9:b3:b2:3d:53:a5
rssi;-66
address;d5:b1:89:8b:b8:c5
rssi;-62
address;d1:0b:14:b3:18:6a
rssi;-68
address;f1:96:cd:ee:25:bd
rssi;-56
address;fc:02:a0:fa:33:19
rssi;-60
address;f9:b3:b2:3d:53:a5
rssi;-60
address;e3:6f:28:36:5a:db
rssi;-63
address;d5:b1:89:8b:b8:c5
rssi;-69
address;ef:86:35:dd:c3:f7
rssi;-57
address;f7:9c:08:9a:42:ed
rssi;-92
address;e3:6f:28:36:5a:db
rssi;-60
address;d1:0b:14:b3:18:6a
rssi;-67
address;f1:96:cd:ee:25:bd
rssi;-61
address;ef:86:35:dd:c3:f7
rssi;-72
address;d5:b1:89:8b:b8:c5
rssi;-68
address;fc:02:a0:fa:33:19
rssi;-62
address;f7:9c:08:9a:42:ed
rssi;-76
address;d1:0b:14:b3:18:6a
rssi;-58
address;f1:96:cd:ee:25:bd
rssi;-57
address;fc:02:a0:fa:33:19
rssi;-62
address;f9:b3:b2:3d:53:a5
rssi;-64
address;e3:6f:28:36:5a:db
rssi;-68
address;f7:9c:08:9a:42:ed
rssi;-92
address;d5:b1:89:8b:b8:c5
rssi;-74
address;fc:02:a0:fa:33:19
rssi;-70
address;ef:86:35:dd:c3:f7
rssi;-56
address;d1:0b:14:b3:18:6a
rssi;-63
address;f1:96:cd:ee:25:bd
rssi;-56
address;f7:9c:08:9a:42:ed
rssi;-82
address;e3:6f:28:36:5a:db
rssi;-58
address;f9:b3:b2:3d:53:a5
rssi;-60
address;d5:b1:89:8b:b8:c5
rssi;-62
address;f1:96:cd:ee:25:bd
rssi;-55
address;fc:02:a0:fa:33:19
rssi;-72
address;f9:b3:b2:3d:53:a5
rssi;-64
address;f7:9c:08:9a:42:ed
rssi;-86
address;e3:6f:28:36:5a:db
rssi;-69
address;d1:0b:14:b3:18:6a
rssi;-57
address;ef:86:35:dd:c3:f7
rssi;-62
address;d5:b1:89:8b:b8:c5
rssi;-68
address;f1:96:cd:ee:25:bd
rssi;-55
address;ef:86:35:dd:c3:f7
rssi;-57
address;d1:0b:14:b3:18:6a
rssi;-51
address;d5:b1:89:8b:b8:c5
rssi;-62
address;fc:02:a0:fa:33:19
rssi;-47
address;f9:b3:b2:3d:53:a5
rssi;-60
address;f7:9c:08:9a:42:ed
rssi;-80
address;e3:6f:28:36:5a:db
rssi;-69
address;fc:02:a0:fa:33:19
rssi;-68
address;f9:b3:b2:3d:53:a5
rssi;-65
address;e3:6f:28:36:5a:db
rssi;-63
address;d1:0b:14:b3:18:6a
rssi;-69
address;d5:b1:89:8b:b8:c5
rssi;-62
address;f1:96:cd:ee:25:bd
rssi;-55
address;f7:9c:08:9a:42:ed
rssi;-75
