address;e3:6f:28:36:5a:db
rssi;-51
address;f9:b3:b2:3d:53:a5
rssi;-31
address;ef:86:35:dd:c3:f7
rssi;-53
address;fc:02:a0:fa:33:19
rssi;-47
address;f7:9c:08:9a:42:ed
rssi;-60
address;f1:96:cd:ee:25:bd
rssi;-51
address;d1:0b:14:b3:18:6a
rssi;-62
address;d5:b1:89:8b:b8:c5
rssi;-46
address;f1:96:cd:ee:25:bd
rssi;-49
address;e3:6f:28:36:5a:db
rssi;-57
address;d1:0b:14:b3:18:6a
rssi;-62
address;f9:b3:b2:3d:53:a5
rssi;-45
address;ef:86:35:dd:c3:f7
rssi;-57
address;fc:02:a0:fa:33:19
rssi;-53
address;d5:b1:89:8b:b8:c5
rssi;-43
address;f7:9c:08:9a:42:ed
rssi;-66
address;e3:6f:28:36:5a:db
rssi;-60
address;f9:b3:b2:3d:53:a5
rssi;-42
address;ef:86:35:dd:c3:f7
rssi;-52
address;d1:0b:14:b3:18:6a
rssi;-58
address;fc:02:a0:fa:33:19
rssi;-47
address;f7:9c:08:9a:42:ed
rssi;-64
address;f1:96:cd:ee:25:bd
rssi;-59
address;e2:51:e0:31:ee:0e
rssi;-46
address;d5:b1:89:8b:b8:c5
rssi;-41
address;e3:6f:28:36:5a:db
rssi;-52
address;f9:b3:b2:3d:53:a5
rssi;-47
address;ef:86:35:dd:c3:f7
rssi;-50
address;d1:0b:14:b3:18:6a
rssi;-57
address;fc:02:a0:fa:33:19
rssi;-47
address;f7:9c:08:9a:42:ed
rssi;-66
address;e2:51:e0:31:ee:0e
rssi;-43
address;f1:96:cd:ee:25:bd
rssi;-55
address;f7:9c:08:9a:42:ed
rssi;-62
address;f1:96:cd:ee:25:bd
rssi;-61
address;e3:6f:28:36:5a:db
rssi;-52
address;e2:51:e0:31:ee:0e
rssi;-47
address;d1:0b:14:b3:18:6a
rssi;-62
address;fc:02:a0:fa:33:19
rssi;-47
address;f9:b3:b2:3d:53:a5
rssi;-45
address;ef:86:35:dd:c3:f7
rssi;-52
address;d5:b1:89:8b:b8:c5
rssi;-41
address;ef:86:35:dd:c3:f7
rssi;-50
address;e3:6f:28:36:5a:db
rssi;-53
address;e2:51:e0:31:ee:0e
rssi;-46
address;f7:9c:08:9a:42:ed
rssi;-60
address;f1:96:cd:ee:25:bd
rssi;-56
address;d1:0b:14:b3:18:6a
rssi;-57
address;f9:b3:b2:3d:53:a5
rssi;-46
address;fc:02:a0:fa:33:19
rssi;-47
address;e2:51:e0:31:ee:0e
rssi;-47
address;f1:96:cd:ee:25:bd
rssi;-51
address;d1:0b:14:b3:18:6a
rssi;-46
address;fc:02:a0:fa:33:19
rssi;-47
address;e3:6f:28:36:5a:db
rssi;-51
address;f7:9c:08:9a:42:ed
rssi;-65
address;ef:86:35:dd:c3:f7
rssi;-51
address;f9:b3:b2:3d:53:a5
rssi;-44
address;d5:b1:89:8b:b8:c5
rssi;-57
address;ef:86:35:dd:c3:f7
rssi;-57
address;e3:6f:28:36:5a:db
rssi;-52
address;d1:0b:14:b3:18:6a
rssi;-57
address;d5:b1:89:8b:b8:c5
rssi;-41
address;e2:51:e0:31:ee:0e
rssi;-47
address;fc:02:a0:fa:33:19
rssi;-47
address;f7:9c:08:9a:42:ed
rssi;-59
address;f1:96:cd:ee:25:bd
rssi;-56
address;f9:b3:b2:3d:53:a5
rssi;-47
address;f1:96:cd:ee:25:bd
rssi;-52
address;e3:6f:28:36:5a:db
rssi;-52
address;e2:51:e0:31:ee:0e
rssi;-34
address;fc:02:a0:fa:33:19
rssi;-48
address;ef:86:35:dd:c3:f7
rssi;-56
address;f9:b3:b2:3d:53:a5
rssi;-47
address;d5:b1:89:8b:b8:c5
rssi;-30
address;f7:9c:08:9a:42:ed
rssi;-47
address;d1:0b:14:b3:18:6a
rssi;-43
address;d5:b1:89:8b:b8:c5
rssi;-29
address;e2:51:e0:31:ee:0e
rssi;-48
address;fc:02:a0:fa:33:19
rssi;-38
address;f7:9c:08:9a:42:ed
rssi;-48
address;f1:96:cd:ee:25:bd
rssi;-53
address;e3:6f:28:36:5a:db
rssi;-52
address;d1:0b:14:b3:18:6a
rssi;-57
address;ef:86:35:dd:c3:f7
rssi;-50
address;f9:b3:b2:3d:53:a5
rssi;-44
address;f7:9c:08:9a:42:ed
rssi;-62
address;e2:51:e0:31:ee:0e
rssi;-44
address;f1:96:cd:ee:25:bd
rssi;-61
address;e3:6f:28:36:5a:db
rssi;-53
address;d1:0b:14:b3:18:6a
rssi;-61
address;fc:02:a0:fa:33:19
rssi;-54
address;ef:86:35:dd:c3:f7
rssi;-51
address;d5:b1:89:8b:b8:c5
rssi;-43
address;f7:9c:08:9a:42:ed
rssi;-48
